course_title,course_link
"Social Media Marketing:  Facebook, Twitter, YouTube, Instagram, SEO & Digital Marketing",https://www.reed.co.uk/courses/social-media-marketing-facebook-twitter-youtube-instagram-seo-digital-marketing/360813#/courses/discount?pageno=2
Level 2 & 3 Diploma in Health and Social Care + Care Certificate Standards (1 to 16),https://www.reed.co.uk/courses/level-2-3-diploma-in-health-and-social-care--care-certificate-standards-1-to-16/428392#/courses/discount?pageno=2
"Xero, Quickbooks, Sage 50 Bookkeeping with Accounting and Finance for Tax, Payroll & VAT",https://www.reed.co.uk/courses/xero-quickbooks-sage-50-bookkeeping-with-accounting-and-finance-for-tax-payroll-vat/272306#/courses/discount?pageno=2
Level 7 Diploma in Leadership & Management,https://www.reed.co.uk/courses/level-7-diploma-in-leadership-management/271940#/courses/discount?pageno=2
Safeguarding Children - Level 3,https://www.reed.co.uk/courses/safeguarding-children-level-3/316377#/courses/discount?pageno=2
"Functional Skills Maths Level 2, Functional Skills English Level 2, Functional Skills IT",https://www.reed.co.uk/courses/functional-skills-maths-level-2-functional-skills-english-level-2-functional-skills-it/272139#/courses/discount?pageno=2
"COSHH, Fire Safety with Health and Safety - CPD Certified",https://www.reed.co.uk/courses/coshh-fire-safety-with-health-and-safety-cpd-certified/360586#/courses/discount?pageno=2
Accounting and Finance Practical Training using Sage 50 QuickBooks IRIS BrightPay and Xero,https://www.reed.co.uk/courses/accounting-and-finance-practical-training-using-sage-50-quickbooks-iris-brightpay-and-xero/240253#/courses/discount?pageno=2
"Anti Money Laundering (AML),  KYC and Risk Management",https://www.reed.co.uk/courses/anti-money-laundering-aml-kyc-and-risk-management/267462#/courses/discount?pageno=2
"Functional Skills Maths Level 2, Functional Skills English Level 2, Functional Skills IT",https://www.reed.co.uk/courses/functional-skills-maths-level-2-functional-skills-english-level-2-functional-skills-it/288353#/courses/discount?pageno=2
Sexual Harassment Awareness and Prevention in the Workplace - CPD Accredited,https://www.reed.co.uk/courses/sexual-harassment-awareness-and-prevention-in-the-workplace-cpd-accredited/449781#/courses/discount?pageno=2
Paediatric First Aid,https://www.reed.co.uk/courses/paediatric-first-aid/267396#/courses/discount?pageno=2
Level 3 Diploma in Control and Administration of Medication - CPD Accredited,https://www.reed.co.uk/courses/level-3-diploma-in-control-and-administration-of-medication-cpd-accredited/289258#/courses/discount?pageno=2
"Level 3 Diploma in Gardening, Horticulture and Plant Nutrition - CPD Accredited",https://www.reed.co.uk/courses/level-3-diploma-in-gardening-horticulture-and-plant-nutrition-cpd-accredited/456869#/courses/discount?pageno=2
Diploma of Mental Health Counselling and Psychology (Online) - CPD Certified,https://www.reed.co.uk/courses/diploma-of-mental-health-counselling-and-psychology-online-cpd-certified/334671#/courses/discount?pageno=2
Payroll Administrator Training,https://www.reed.co.uk/courses/payroll-administrator-training/269611#/courses/discount?pageno=3
Level 2 Food Safety and Hygiene for Catering,https://www.reed.co.uk/courses/level-2-food-safety-and-hygiene-for-catering/357000#/courses/discount?pageno=3
"Payroll Administrator: Sage 50, Accountancy, Tax Accounting and Finance",https://www.reed.co.uk/courses/payroll-administrator-sage-50-accountancy-tax-accounting-and-finance/359235#/courses/discount?pageno=3
"Complete Microsoft Office (Word, Excel, PowerPoint, 365) + Office Administration Training",https://www.reed.co.uk/courses/complete-microsoft-office-word-excel-powerpoint-365--office-administration-training/492189#/courses/discount?pageno=3
COSHH Health and Safety Training for Cleaners,https://www.reed.co.uk/courses/coshh-health-and-safety-training-for-cleaners/504057#/courses/discount?pageno=3
CACHE Level 3 Award in Childcare and Education RQF,https://www.reed.co.uk/courses/cache-level-3-award-in-childcare-and-education-rqf/207047#/courses/discount?pageno=3
Functional Skills Maths Level 2 & Functional Skills English Level 2,https://www.reed.co.uk/courses/functional-skills-maths-level-2-functional-skills-english-level-2/290079#/courses/discount?pageno=3
"Care Certificate (15 Healthcare Standards), Health and Social Care & Mental Health Diploma",https://www.reed.co.uk/courses/care-certificate-15-healthcare-standards-health-and-social-care-mental-health-diploma/359832#/courses/discount?pageno=3
HR: CIPD Level 5 Associate Diploma in People Management,https://www.reed.co.uk/courses/hr-cipd-level-5-associate-diploma-in-people-management/450905#/courses/discount?pageno=3
CIPD Level 5 Associate Diploma in People Management,https://www.reed.co.uk/courses/cipd-level-5-associate-diploma-in-people-management/381461#/courses/discount?pageno=3
CIPD Level 5 Associate Diploma in People Management HR Training,https://www.reed.co.uk/courses/cipd-level-5-associate-diploma-in-people-management-hr-training/95777#/courses/discount?pageno=3
Basic Food Hygiene Certificate - Also known as Food Safety Level 2 for Catering,https://www.reed.co.uk/courses/basic-food-hygiene-certificate-also-known-as-food-safety-level-2-for-catering/264506#/courses/discount?pageno=3
Level 7 Advanced Diploma of Life Coaching and Mentoring (Online) - CPD Certified,https://www.reed.co.uk/courses/level-7-advanced-diploma-of-life-coaching-and-mentoring-online-cpd-certified/336363#/courses/discount?pageno=3
Level 4 Diploma in Health and Social Care with Care Certificate,https://www.reed.co.uk/courses/level-4-diploma-in-health-and-social-care-with-care-certificate/356869#/courses/discount?pageno=3
Level 3 Real Estate Agent: Estate Management & Property Development - CPD Accredited,https://www.reed.co.uk/courses/level-3-real-estate-agent-estate-management-property-development-cpd-accredited/360226#/courses/discount?pageno=3
"Dog First Aid, Dog Care, Dog Grooming & Dog Nutrition with Dog Training & Animal Care",https://www.reed.co.uk/courses/dog-first-aid-dog-care-dog-grooming-dog-nutrition-with-dog-training-animal-care/259793#/courses/discount?pageno=3
"Office Skills: Admin, Secretarial & PA (Executive PA) with Minute Taking & Microsoft Excel",https://www.reed.co.uk/courses/office-skills-admin-secretarial-pa-executive-pa-with-minute-taking-microsoft-excel/279864#/courses/discount?pageno=3
CeMAP 123 Home Study - Special Offer!,https://www.reed.co.uk/courses/cemap-123-home-study-special-offer/312791#/courses/discount?pageno=3
Teaching English as a Foreign Language - 120 Hours TEFL / TESOL / ESOL,https://www.reed.co.uk/courses/teaching-english-as-a-foreign-language-120-hours-tefl-tesol-esol/323650#/courses/discount?pageno=3
"Counselling : Mental Health Psychology, Cognitive Behavioural Therapy & Psychotherapy",https://www.reed.co.uk/courses/counselling--mental-health-psychology-cognitive-behavioural-therapy-psychotherapy/360216#/courses/discount?pageno=3
GDPR Compliance and Risk Management Level 3 - CPD Accredited,https://www.reed.co.uk/courses/gdpr-compliance-and-risk-management-level-3-cpd-accredited/360460#/courses/discount?pageno=3
Level 3 Emergency First Aid at Work (EFAW) with Health and Safety Training,https://www.reed.co.uk/courses/level-3-emergency-first-aid-at-work-efaw-with-health-and-safety-training/360475#/courses/discount?pageno=3
Level 3 Diploma in Business Administration - CPD Accredited,https://www.reed.co.uk/courses/level-3-diploma-in-business-administration-cpd-accredited/453787#/courses/discount?pageno=3
